,venue
2295,Journal of Global Information Management
2296,conference of the international speech communication association
2297,Mis Quarterly Executive
2298,engineering of computer based systems
2299,asia pacific network operations and management symposium
2300,microelectronics systems education
2301,International Journal of Asian Business and Information Management
2302,arXiv: Instrumentation and Detectors
2303,international symposium on electronic commerce and security
2304,Computational Optimization and Applications
2305,Mechanical Systems and Signal Processing
2306,Probability Theory and Related Fields
2307,conference on multimedia modeling
2308,Journal of Applied and Industrial Mathematics
2309,IEEE Transactions on Circuits and Systems
2310,distributed systems: operations and management
2311,Scandinavian Journal of Statistics
2312,international conference on computer modeling and simulation
2313,belgium netherlands conference on artificial intelligence
2314,International Journal for Multiscale Computational Engineering
2315,"conference on privacy, security and trust"
2316,intelligent information hiding and multimedia signal processing
2317,acm/ieee joint conference on digital libraries
2318,arXiv: Pattern Formation and Solitons
2319,deontic logic in computer science
2320,Intelligent Automation and Soft Computing
2321,IEEE Engineering Management Review
2322,Measurement
2323,international symposium on computer and information sciences
2324,medical informatics europe
2325,system analysis and modeling
2326,ACM Sigcpr Computer Personnel
2327,high performance transaction systems workshop
2328,Marine Ecology Progress Series
2329,Journal of Biological Dynamics
2330,acm conference on hypertext
2331,latin american network operations and management symposium
2332,International Journal of Heat and Mass Transfer
2333,world congress on computational intelligence
2334,"international conference on simulation and modeling methodologies, technologies and applications"
2335,Advances in Engineering Software
2336,Intelligence\/sigart Bulletin
2337,Physica B-condensed Matter
2338,image and vision computing new zealand
2339,Systems Engineering
2340,Consciousness and Cognition
2341,Journal of Synchrotron Radiation
2342,conference on object oriented programming systems languages and applications
2343,new zealand chapter's international conference on computer human interaction
2344,Astronomische Nachrichten
2345,international convention on information and communication technology electronics and microelectronics
2346,Journal of Digital Information
2347,Annals of Physical and Rehabilitation Medicine
2348,Ageing Research Reviews
2349,information security curriculum development
2350,International Journal of Modern Education and Computer Science
2351,international conference on vlsi design
2352,IEEE Transactions on Professional Communication
2353,arXiv: Cosmology and Nongalactic Astrophysics
2354,arXiv: Pricing of Securities
2355,Iop Conference Series: Materials Science and Engineering
2356,Library Trends
2357,symposium on computer arithmetic
2358,Behavior Research Methods
2359,arXiv: Other Quantitative Biology
2360,IEEE Transactions on Communications
2361,formal ontology in information systems
2362,Environment and Planning B-planning & Design
2363,Journal of Artificial Intelligence Research
2364,international conference on performance engineering
2365,Theoretical Informatics and Applications
2366,Sealing Technology
2367,Information Visualization
2368,european conference on computational biology
2369,International Transactions on Systems Science and Applications
2370,british national conference on databases
2371,Journal of Intelligent Learning Systems and Applications
2372,international conference on smart homes and health telematics
2373,International Statistical Review
2374,international symposium on experimental robotics
2375,ACM Sigmis Database
2376,International Journal of Information Systems and Supply Chain Management
2377,International Journal of Computer Mathematics
2378,"databases, information systems, and peer-to-peer computing"
2379,International Journal of Humanoid Robotics
2380,arXiv: High Energy Physics - Phenomenology
2381,International Journal of Technology and Human Interaction
2382,Journal of Optimization Theory and Applications
2383,machine learning and data mining in pattern recognition
2384,Journal of Informetrics
2385,arXiv: Number Theory
2386,ad hoc mobile and wireless networks
2387,International Journal of Systems Assurance Engineering and Management
2388,Journal of Low Power Electronics
2389,"robotics, automation and mechatronics"
2390,ACM Transactions on Reconfigurable Technology and Systems
2391,usenix security symposium
2392,Inventiones Mathematicae
2393,Journal of Documentation
2394,Synthesis Lectures on Computer Graphics and Animation
2395,ACM Transactions on Algorithms
2396,aspect oriented software development
2397,Library Hi Tech
2398,arXiv: Classical Analysis and ODEs
2399,Learned Publishing
2400,E-service Journal
2401,Brain Research Reviews
2402,Configurations
2403,international conference on model-driven engineering and software development
2404,Advances in Strategic Management -a Research Annual
2405,Journal of Experimental and Theoretical Artificial Intelligence
2406,Journal of Applied Mathematics and Computing
2407,Journal of Technical Writing and Communication
2408,algebraic biology
2409,global communications conference
2410,Journal of The Optical Society of America A-optics Image Science and Vision
2411,international symposium on information theory
2412,Geometriae Dedicata
2413,International Journal of Biometrics
2414,Order
2415,Journal of Cryptology
2416,Mechanics of Advanced Materials and Structures
2417,autonomous minirobots for research and edutainment
2418,high assurance systems engineering
2419,workshop on approximation and online algorithms
2420,Match-communications in Mathematical and in Computer Chemistry
2421,industrial and engineering applications of artificial intelligence and expert systems
2422,principles and practice of constraint programming
2423,Journal of Chemical Information and Modeling
2424,"modelling, computation and optimization in information systems and management sciences"
2425,Genetic Programming and Evolvable Machines
2426,Synthesis Lectures on Controls and Mechatronics
2427,Statistical Methodology
2428,International Journal of Mobile Computing and Multimedia Communications
2429,european conference on genetic programming
2430,arXiv: Mathematical Finance
2431,high performance embedded architectures and compilers
2432,symposium on principles of database systems
2433,rapid system prototyping
2434,Combustion and Flame
2435,wearable and implantable body sensor networks
2436,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
2437,Photonic Network Communications
2438,Bit Numerical Mathematics
2439,computing and combinatorics conference
2440,Transactions on Computational Systems Biology
2441,Room
2442,IEEE Transactions on Robotics
2443,Evolutionary Computation
2444,International Journal of Economic Theory
2445,Annual Review of Psychology
2446,international conference on computer supported education
2447,Cognitive Neurodynamics
2448,Ieej Transactions on Electrical and Electronic Engineering
2449,IEEE Transactions on Industry Applications
2450,australasian data mining conference
2451,ieee automatic speech recognition and understanding workshop
2452,Wireless Networks
2453,Journal of Applied Probability
2454,international symposium on wearable computers
2455,Discrete and Continuous Dynamical Systems-series B
2456,International Journal of Web and Grid Services
2457,The Open Medical Informatics Journal
2458,computing the australasian theory symposium
2459,Info
2460,north american chapter of the association for computational linguistics
2461,meeting of the association for computational linguistics
2462,software technologies for embedded and ubiquitous systems
2463,distributed multimedia systems
2464,cooperative systems design
2465,Educational Research and Evaluation
2466,concept lattices and their applications
2467,arXiv: Information Retrieval
2468,mexican international conference on computer science
2469,web-age information management
2470,Frontiers in Neurorobotics
2471,Electronics and Communications in Japan Part Iii-fundamental Electronic Science
2472,Adolescence
2473,"international conference on computer safety, reliability, and security"
2474,color imaging conference
2475,asia-pacific web conference
2476,Journal of Automated Reasoning
2477,Sigir Forum
2478,Electronics Letters
2479,acm sigplan symposium on principles and practice of parallel programming
2480,international symposium on microarchitecture
2481,Bulletin of the American Mathematical Society
2482,Review of Scientific Instruments
2483,Mathematics of Operations Research
2484,"ESAIM: Control, Optimisation and Calculus of Variations"
2485,knowledge and systems engineering
2486,document analysis systems
2487,Journal of Graphics Tools
2488,arXiv: Disordered Systems and Neural Networks
2489,international solid state circuits conference
2490,Chemistry Central Journal
2491,ACM Transactions on Computer-Human Interaction
2492,International Journal of Advanced Intelligence Paradigms
2493,Vine
2494,business process management
2495,language and automata theory and applications
2496,computational methods in systems biology
2497,annual simulation symposium
2498,Language Learning
2499,Decision Analysis
2500,european conference on web services
2501,international conference on web engineering
2502,petascale data storage workshop
2503,"biocomputation, bioinformatics, and biomedical technologies"
2504,Computer Speech & Language
2505,Journal of The Royal Statistical Society Series B-statistical Methodology
2506,Perspectives on Science
2507,IEEE Transactions on Electronic Computers
2508,Quantitative Economics
2509,computer music modeling and retrieval
2510,"Computer Languages, Systems & Structures"
2511,multimedia signal processing
2512,product focused software process improvement
2513,international conference on cognitive modelling
2514,flexible query answering systems
2515,acm symposium on applied computing
2516,workshop on hot topics in operating systems
2517,The Annals of Applied Statistics
2518,Iee Proceedings-computers and Digital Techniques
2519,international symposium on quality electronic design
2520,information processing and management of uncertainty
2521,pacific asia conference on information systems
2522,international conference on applications of declarative programming and knowledge management
2523,Acta Numerica
2524,International Journal of Public Health
2525,workshop on information technologies and systems
2526,asia-pacific computer and human interaction
2527,Canadian Journal of Mathematics
2528,International Journal of Ambient Computing and Intelligence
2529,Journal of Applied Mathematics
2530,arXiv: Multiagent Systems
2531,european dependable computing conference
2532,Journal of Pure and Applied Algebra
2533,PLOS Biology
2534,computer aided systems theory
2535,BMC Infectious Diseases
2536,Computer Science Review
2537,international conference on information visualization theory and applications
2538,International Journal of Swarm Intelligence Research
2539,computer aided design and computer graphics
2540,interactive 3d graphics and games
2541,Algorithmica
2542,ACM Transactions on Computational Logic
2543,similarity search and applications
2544,E-learning
2545,International Journal of Imaging Systems and Technology
2546,Journal of Computer Science and Technology
2547,International Journal of Agent-oriented Software Engineering
2548,Progress in Electromagnetics Research-pier
2549,Applied and Computational Harmonic Analysis
2550,Alzheimers & Dementia
2551,Management Science
2552,software engineering and formal methods
2553,International Journal of Distributed Systems and Technologies
2554,principles of distributed computing
2555,Journal of Statistics Education
2556,databases in networked information systems
2557,Mobile Networks and Applications
2558,Formal Methods in System Design
2559,international workshop on digital watermarking
2560,Journal of New Music Research
2561,doctoral conference on computing electrical and industrial systems
2562,International Journal of Applied Evolutionary Computation
2563,Games
2564,working conference on virtual enterprises
2565,Mathematical Modelling and Analysis
2566,Microsystem Technologies-micro-and Nanosystems-information Storage and Processing Systems
2567,international conference on algorithms and architectures for parallel processing
2568,non linear speech processing
2569,Tellus A
2570,working conference on reverse engineering
2571,Complexus
2572,Séminaire Lotharingien de Combinatoire
2573,Health Care Management Science
2574,Przegląd Elektrotechniczny
2575,Skin Research and Technology
2576,International Journal of Computers and Applications
2577,agent and multi-agent systems: technologies and applications
2578,Theoretical Chemistry Accounts
2579,Synthesis Lectures on Data Mining and Knowledge Discovery
2580,ACM Sigplan Fortran Forum
2581,English for Specific Purposes
2582,international conference on automated planning and scheduling
2583,Ethics and Information Technology
2584,Foundations of Computational Mathematics
2585,databases information systems and peer to peer computing
2586,logical and computational complexity
2587,"Cyberpsychology, Behavior, and Social Networking"
2588,formal methods in computer aided design
2589,Siam Journal on Mathematical Analysis
2590,robotics automation and mechatronics
2591,Scientia Iranica
2592,international conference on cloud computing
2593,Journal of Non-newtonian Fluid Mechanics
2594,workshop on logic language information and computation
2595,international conference on operations research and enterprise systems
2596,Chemical Biology & Drug Design
2597,technical symposium on computer science education
2598,artificial intelligence and computational intelligence
2599,logic based program synthesis and transformation
2600,tools and algorithms for construction and analysis of systems
2601,enterprise distributed object computing
2602,Journal of Formalized Reasoning
2603,bioinformatics research and development
2604,ACM Sigcse Bulletin
2605,arXiv: Chaotic Dynamics
2606,international conference on e-business and e-government
2607,Nordic Journal of Computing
2608,Studia Logica
2609,ieee european symposium on security and privacy
2610,Technological Forecasting and Social Change
2611,Computer Networks
2612,innovative mobile and internet services in ubiquitous computing
2613,Annual Reviews in Control
2614,international conference on ultra modern telecommunications
2615,arXiv: Differential Geometry
2616,Mathematics in Computer Science
2617,Arthritis Research & Therapy
2618,foundations of digital games
2619,trust and trustworthy computing
2620,international symposium on imprecise probabilities and their applications
2621,signal-image technology and internet-based systems
2622,Journal of the Acoustical Society of America
2623,International Journal of Digital Library Systems
2624,IEEE Transactions on Affective Computing
2625,The Forum
2626,Journal of Computing and Information Technology
2627,Monatshefte für Mathematik
2628,Pharmacology & Therapeutics
2629,Foundations and Trends in Stochastic Systems
2630,Autonomous Robots
2631,Journal of Korean Medical Science
2632,Journal of Marine Science and Application
2633,The Mathematical Intelligencer
2634,Journal on Computing and Cultural Heritage
2635,symposium on integrated circuits and systems design
2636,typed lambda calculus and applications
2637,international conference on embedded networked sensor systems
2638,Journal of Embedded Computing
2639,Anticancer Research
2640,Fuzzy Information and Engineering
2641,ieee international conference on cloud computing technology and science
2642,International Journal of Applied Mathematics and Computer Science
2643,conference on recommender systems
2644,Autonomous Agents and Multi-Agent Systems
2645,mobile data management
2646,Scopus
2647,Journal of the Physical Society of Japan
2648,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture"
2649,international conference on image and signal processing
2650,Robotica
2651,Theory of Computing Systems \/ Mathematical Systems Theory
2652,Journal of the Atmospheric Sciences
2653,arXiv: History and Philosophy of Physics
2654,Computers & Mathematics With Applications
2655,eurographics symposium on rendering techniques
2656,Open Medicine
2657,international symposium on circuits and systems
2658,Biotechnology Letters
2659,international conference on autonomic computing
2660,International Journal of Medical Informatics
2661,Journal of Computer Assisted Learning
2662,Vitae-revista De La Facultad De Quimica Farmaceutica
2663,Quest
2664,Journal of Media Psychology
2665,IEEE Journal of Selected Topics in Signal Processing
2666,ieee computer security foundations symposium
2667,Revista Espanola De Documentacion Cientifica
2668,IEEE Transactions on Power Delivery
2669,Pervasive and Mobile Computing
2670,It & People
2671,Frontiers in Neuroscience
2672,Science and Engineering Ethics
2673,Gait & Posture
2674,latin american web congress
2675,public key cryptography
2676,Human-centric Computing and Information Sciences
2677,Mathematical Structures in Computer Science
2678,Journal of Combinatorial Optimization
2679,Finite Elements in Analysis and Design
2680,Synthesis Lectures on Mathematics and Statistics
2681,Journal of Computational and Nonlinear Dynamics
2682,Memetic Computing
2683,international symposium on object/component/service-oriented real-time distributed computing
2684,Computational Geometry: Theory and Applications
2685,mobile ad-hoc and sensor networks
2686,Contributions to Discrete Mathematics
2687,arXiv: Operating Systems
2688,Journal of Applied Physiology
2689,Big Data Research
2690,Magnetic Resonance in Medicine
2691,Computer Graphics
2692,Journal of Spatial Information Science
2693,Engineering Letters
2694,Ldv Forum
2695,ubiquitous data management
2696,IEEE Transactions on Magnetics
2697,Journal of Graph Algorithms and Applications
2698,Journal of Molecular Graphics & Modelling
2699,computational science and engineering
2700,Experimental Astronomy
2701,IEEE Sensors Journal
2702,Discrete and Computational Geometry
2703,Communications in Contemporary Mathematics
2704,PeerJ
2705,"mobile wireless middleware, operating systems, and applications"
2706,ACM Transactions on Speech and Language Processing
2707,International Journal of Production Economics
2708,high-assurance systems engineering
2709,Parallel Algorithms and Applications
2710,Basic and Applied Ecology
2711,international conference on frontiers in handwriting recognition
2712,arXiv: Economics
2713,Journal of Superconductivity and Novel Magnetism
2714,The Journal of The Society for Art and Science
2715,Journal of Information Processing Systems
2716,ubiquitous computing
2717,Ipsj Transactions on System Lsi Design Methodology
2718,IEICE Transactions on Communications
2719,Synthesis Lectures on Computer Science
2720,international workshop on xquery implementation experience and perspectives
2721,International Journal of Applied Logistics
2722,information security practice and experience
2723,parallel and distributed computing systems isca
2724,wireless and optical communications conference
2725,international conference on knowledge engineering and ontology development
2726,IEEE Transactions on Components and Packaging Technologies
2727,International Journal of Embedded and Real-time Communication Systems
2728,Distributed Systems Engineering
2729,Genetics Selection Evolution
2730,"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems"
2731,International Journal of Web Engineering and Technology
2732,Journal of Public Economic Theory
2733,Heat and Mass Transfer
2734,Statistical Inference for Stochastic Processes
2735,italian workshop on neural nets
2736,Journal of Scientific Computing
2737,"P-adic Numbers, Ultrametric Analysis, and Applications"
2738,smart graphics
2739,Journal of Simulation
2740,"International Journal of Image, Graphics and Signal Processing"
2741,international conference on distributed computing systems
2742,international conference on spatial data mining and geographical knowledge services
2743,Presence: Teleoperators & Virtual Environments
2744,reconfigurable architectures workshop
2745,arXiv: Genomics
2746,practical aspects of knowledge management
2747,Scientific Reports
2748,frontiers of combining systems
2749,pacific asia conference on knowledge discovery and data mining
2750,IEEE Transactions on Mobile Computing
2751,International Journal of Satellite Communications
2752,Logical Methods in Computer Science
2753,mexican international conference on artificial intelligence
2754,Ubiquity
2755,International Journal of Unconventional Computing
2756,Journal of Instrumentation
2757,Vigiliae Christianae
2758,IEEE Transactions on Nanobioscience
2759,Foundations of Science
2760,International Journal of Mobile and Blended Learning
2761,Logic and Analysis
2762,Advances in Bioinformatics
2763,european conference on technology enhanced learning
2764,Advances in Software Engineering
2765,Cognitive Systems Research
2766,International Journal of Antennas and Propagation
2767,Internet Archaeology
2768,Journal of Advanced Computational Intelligence and Intelligent Informatics
2769,Bulletin of Mathematical Biology
2770,international conference on formal methods and models for co-design
2771,"pacific-asia conference on circuits, communications and systems"
2772,International Journal of Computational Intelligence and Applications
2773,International Journal of Interdisciplinary Telecommunications and Networking
2774,International Journal of Computational Biology and Drug Design
2775,nano micro engineered and molecular systems
2776,international symposium on ubiquitous virtual reality
2777,Current Bioinformatics
2778,Formalized Mathematics
2779,Annales Des Télécommunications
2780,arXiv: Trading and Market Microstructure
2781,Bt Technology Journal
2782,international conference on image and graphics
2783,conference on image and video retrieval
2784,"The International Journal of Computers, Systems and Signal"
2785,Review of Economic Design
2786,International Journal on Document Analysis and Recognition
2787,pervasive computing and communications
2788,declarative agent languages and technologies
2789,Women and Birth
2790,arXiv: Geophysics
2791,International Journal of Pattern Recognition and Artificial Intelligence
2792,International Journal of Adult Vocational Education and Technology
2793,Technical Services Quarterly
2794,Bulletin of the Malaysian Mathematical Sciences Society
2795,The New Review of Hypermedia and Multimedia
2796,Applied Soft Computing
2797,Interdisciplinary Perspectives on Infectious Diseases
2798,International Journal of Business Intelligence Research
2799,Computational & Applied Mathematics
2800,Inverse Problems in Science and Engineering
2801,"IEEE Transactions on Acoustics, Speech, and Signal Processing"
2802,Journal of Advanced Mechanical Design Systems and Manufacturing
2803,IEEE Photonics Technology Letters
2804,Frontiers in Neuroengineering
2805,Bioorganic & Medicinal Chemistry Letters
2806,Statistica Neerlandica
2807,Chinese Science Bulletin
2808,Paladyn
2809,trustworthy global computing
2810,"power and timing modeling, optimization and simulation"
2811,international conference on robot communication and coordination
2812,Economics Bulletin
2813,South African Journal of Science
2814,international conference on advanced learning technologies
2815,european conference on e government
2816,The Journal of Geometric Mechanics
2817,Nuclear Physics
2818,Human Factors and Ergonomics in Manufacturing & Service Industries
2819,pacific conference on computer graphics and applications
2820,Information Security Journal: A Global Perspective
2821,Journal of Visualization
2822,international conference on wireless and mobile communications
2823,Journal of Structural Biology
2824,Journal of The Optical Society of America B-optical Physics
2825,parallel problem solving from nature
2826,theory and application of cryptographic techniques
2827,string processing and information retrieval
2828,Administrative Science Quarterly
2829,IEEE Transactions on Visualization and Computer Graphics
2830,Nature Precedings
2831,IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control
2832,formal methods
2833,Top
2834,arXiv: Accelerator Physics
2835,international symposium on computer architecture
2836,Journal of Polymer Engineering
2837,"performance evaluation of wireless ad hoc, sensor, and ubiquitous networks"
2838,IEEE Transactions on Pattern Analysis and Machine Intelligence
2839,The Kips Transactions:partd
2840,international conference on multimodal interfaces
2841,Journal of Machine Vision and Applications
2842,IEEE Transactions on Dependable and Secure Computing
2843,grid computing
2844,International Journal of Manufacturing Technology and Management
2845,The Open Software Engineering Journal
2846,Digital Communications and Networks
2847,canadian conference on computational geometry
2848,conference on email and anti-spam
2849,information security and cryptology
2850,network and distributed system security symposium
2851,very large data bases
2852,german conference on bioinformatics
2853,Argument & Computation
2854,"simulation tools and techniques for communications, networks and system"
2855,Genetics
2856,Journal of Visceral Surgery
2857,software engineering for resilient systems
2858,Electoral Studies
2859,Cortex
2860,International Journal of Fuzzy Systems
2861,International Journal of Virtual and Personal Learning Environments
2862,European Physical Journal Plus
2863,international conference on the computer processing of oriental languages
2864,acm sigmm conference on multimedia systems
2865,programming language design and implementation
2866,Instructional Science
2867,Bernoulli
2868,Journal of Bioinformatics and Computational Biology
2869,Journal of Molecular Biology
2870,nordic conference on human computer interaction
2871,international symposium on distributed computing
2872,international congress on mathematical software
2873,Requirements Engineering
2874,world haptics conference
2875,American Journal of Medical Genetics
2876,Engineering Computations
2877,Optical Fiber Technology
2878,INFOCOMP Journal of Computer Science
2879,Journal of Cognitive Neuroscience
2880,international conference on e-learning and games
2881,IEEE Transactions on Aerospace and Electronic Systems
2882,Natural Computing
2883,Sigmod Record
2884,international conference on e-business engineering
2885,adversarial information retrieval on the web
2886,International Journal of Information Systems and Social Change
2887,Frontiers in Behavioral Neuroscience
2888,Current Biology
2889,artificial intelligence methodology systems applications
2890,arXiv: Biomolecules
2891,Journal of Magnetic Resonance
2892,European Review of Applied Psychology-revue Europeenne De Psychologie Appliquee
2893,International Journal of Innovative Computing and Applications
2894,visual communications and image processing
2895,ambient intelligence
2896,Universal Access in The Information Society
2897,artificial intelligence in education
2898,International Journal of Manufacturing Research
2899,knowledge management for health care procedures
2900,Advances in Numerical Analysis
2901,Software Process: Improvement and Practice
2902,intelligent data engineering and automated learning
2903,Annals of Applied Probability
2904,arXiv: Category Theory
2905,european conference on parallel processing
2906,IEEE Transactions on Broadcasting
2907,Chemometrics and Intelligent Laboratory Systems
2908,Public Transport
2909,Journal of Database Management
2910,Quality and Reliability Engineering International
2911,ACM Transactions on Computation Theory
2912,B E Journal of Theoretical Economics
2913,Advances in Operations Research
2914,collaborative agents   research and development
2915,world of wireless mobile and multimedia networks
2916,Supply Chain Management
2917,multiagent system technologies
2918,Journal of Networks
2919,Social Science Computer Review
2920,International Journal on Software Tools for Technology Transfer
2921,international conference on telecommunications
2922,simulated evolution and learning
2923,foundations of computational intelligence
2924,Economic Theory
2925,Computer Science
2926,Computer Standards & Interfaces
2927,Nations and Nationalism
2928,Quantum Information & Computation
2929,"International Journal of Reliability, Quality and Safety Engineering"
2930,Chemical Science
2931,annual computer security applications conference
2932,Journal of Imaging Science and Technology
2933,"Computers, Environment and Urban Systems"
2934,real-time systems symposium
2935,Ocean Engineering
2936,Aiche Journal
2937,spring simulation multiconference
2938,Illinois Journal of Mathematics
2939,semantic web applications and perspectives
2940,Data Mining and Knowledge Discovery
2941,conference on privacy security and trust
2942,Bijdragen
2943,International Journal of Critical Infrastructures
2944,Journal of Computational and Theoretical Nanoscience
2945,Network Modeling Analysis in Health Informatics and BioInformatics
2946,Measurement Science Review
2947,Nonlinear Analysis: Hybrid Systems
2948,security in information systems
2949,modeling decisions for artificial intelligence
2950,international symposium/conference on music information retrieval
2951,international on-line testing symposium
2952,IEEE Transactions on Network and Service Management
2953,Computational Economics
2954,international joint conference on knowledge discovery knowledge engineering and knowledge management
2955,ICGA Journal
2956,collaborative computing
2957,Transactions of the Institute of Measurement and Control
2958,haifa verification conference
2959,Journal of Manufacturing Science and Engineering-transactions of The Asme
2960,international conference on embedded wireless systems and networks
2961,International Journal of Electronic Business
2962,non-monotonic reasoning
2963,Work Study
2964,IEEE Transactions on Emerging Topics in Computing
2965,canadian conference on computer and robot vision
2966,NeuroRehabilitation
2967,ACM Transactions on Information and System Security
2968,International Journal of Computer Games Technology
2969,international symposium on bioinformatics research and applications
2970,many-task computing on grids and supercomputers
2971,ACM Sigbed Review
2972,ACM Transactions on Asian Language Information Processing
2973,international conference on research and education in robotics
2974,International Journal on Applications of Graph Theory in Wireless Ad Hoc Networks and Sensor Networks
2975,Journal of Economic Theory
2976,Annals of Statistics
2977,Computer Communication Review
2978,Acta Automatica Sinica
2979,Ibm Systems Journal
2980,conference on advanced information systems engineering
2981,international conference on emerging security information systems and technologies
2982,multikonferenz wirtschaftsinformatik
2983,D-lib Magazine
2984,Biochemistry
2985,The Computer Science Journal of Moldova
2986,design of reliable communication networks
2987,New Astronomy
2988,Tm-technisches Messen
2989,Journal of Global Information Technology Management
2990,Topics in Cognitive Science
2991,verified software theories tools experiments
2992,international conference on computer communications and networks
2993,International Journal of Artificial Intelligence & Applications
2994,artificial neural networks in pattern recognition
2995,conference on combinatorial optimization and applications
2996,international conference on digital information management
2997,Journal of Clinical Bioinformatics
2998,Brain Imaging and Behavior
2999,Computers & Electrical Engineering
3000,Journal of Decision Systems
3001,IEEE/ACM Transactions on Computational Biology and Bioinformatics
3002,business intelligence for the real time enterprises
3003,Journal of Cosmology and Astroparticle Physics
3004,european japanese conference on information modelling and knowledge bases
3005,International Journal of Computers in Healthcare
3006,simulation of adaptive behavior
3007,The Electrician
3008,international database engineering and applications symposium
3009,workflows in support of large scale science
3010,computers and their applications
3011,ACM Sigcas Computers and Society
3012,critical information infrastructures security
3013,The Journal of Object Technology
3014,latin-american symposium on dependable computing
3015,Programming and Computer Software
3016,ACM Transactions on Mathematical Software
3017,high performance interconnects
3018,winter simulation conference
3019,Proceedings of the National Academy of Sciences of the United States of America
3020,The Artist and Journal of Home Culture
3021,Pesquisa Operacional
3022,applied cryptography and network security
3023,information processing in sensor networks
3024,Ingénierie Des Systèmes D'information
3025,international workshop on combinatorial image analysis
3026,International Journal of Ultra Wideband Communications and Systems
3027,international conference on web based learning
3028,Statistics and Its Interface
3029,pacific rim international symposium on dependable computing
3030,networked digital technologies
3031,International Journal of Network Management
3032,Depression and Anxiety
3033,databases knowledge and data applications
3034,Synthesis Lectures on Human-centered Informatics
3035,Journal of The London Mathematical Society-second Series
3036,"Electronic Government, An International Journal"
3037,Journal of Approximation Theory
3038,languages compilers and tools for embedded systems
3039,International Journal of Human Capital and Information Technology Professionals
3040,Synthesis Lectures on Speech and Audio Processing
3041,Journal of Computer Applications in Technology
3042,"IEEE Transactions on Systems, Man, and Cybernetics"
3043,International Journal of Technology Enhanced Learning
3044,enterprise information systems and web technologies
3045,Advances in Water Resources
3046,Journal of Neuroscience Methods
3047,Modeling Identification and Control
3048,security and privacy in mobile information and communication systems
3049,ACM Communications in Computer Algebra
3050,international symposium on performance analysis of systems and software
3051,biomedical engineering and informatics
3052,mathematics of language
3053,International Journal of Mobile Communications
3054,database technology and applications
3055,"conference on creating, connecting and collaborating through computing"
3056,Computers & Fluids
3057,Current Opinion in Immunology
3058,pacific rim international conference on artificial intelligence
3059,"Synthesis Lectures on Information Security, Privacy, and Trust"
3060,ieee international conference on automatic face and gesture recognition
3061,The American Economic Review
3062,information and communication technologies in tourism
3063,International Journal of Computational Models and Algorithms in Medicine
3064,Ibis
3065,Physical Biology
3066,Transactions of The Society for Computer Simulation International
3067,international conference on artificial neural networks
3068,compiler construction
3069,Knowledge and Information Systems
3070,International Journal of Fracture
3071,arXiv: Subcellular Processes
3072,cross language evaluation forum
3073,arXiv: High Energy Physics - Theory
3074,Ai Magazine
3075,Brain Research
3076,mobile ad hoc networking and computing
3077,pacific-asia workshop on computational intelligence and industrial application
3078,Journal of Vlsi Signal Processing Systems for Signal Image and Video Technology
3079,international conference on case-based reasoning
3080,Journal of Computational Biology
3081,arXiv: Complex Variables
3082,International Journal of Rock Mechanics and Mining Sciences
3083,International Journal of Mobile Learning and Organisation
3084,Computers & Security
3085,Minds and Machines
3086,Journal of Information Technology Education
3087,Tsinghua Science & Technology
3088,international conference on biomedical electronics and devices
3089,Pramana
3090,Artificial Intelligence in Medicine
3091,international multiconference of engineers and computer scientists
3092,electronic and mechanical engineering and information technology
3093,Development
3094,international conference on application of concurrency to system design
3095,IEEE Transactions on Learning Technologies
3096,balkan conference in informatics
3097,international conference on formal concept analysis
3098,International Journal of Reasoning-based Intelligent Systems
3099,Scholarpedia
3100,IEEE Parallel & Distributed Technology: Systems & Applications
3101,European Management Journal
3102,Design Automation for Embedded Systems
3103,Journal of Pragmatics
3104,arXiv: Materials Science
3105,integration of ai and or techniques in constraint programming
3106,International Journal of Reconfigurable Computing
3107,Wiley Interdisciplinary Reviews: Cognitive Science
3108,Isprs Journal of Photogrammetry and Remote Sensing
3109,Ergonomics
3110,International Journal of Intelligent Systems
3111,location  and context awareness
3112,Mathematical Logic Quarterly
3113,Journal of Speech Language and Hearing Research
3114,Journal of Librarianship and Information Science
3115,Science China-physics Mechanics & Astronomy
3116,Quantum Information Processing
3117,Wiley Interdisciplinary Reviews: Computational Statistics
3118,International Review of Law and Economics
3119,Journal of Vision
3120,Information-an International Interdisciplinary Journal
3121,Systems Science & Control Engineering
3122,advanced data mining and applications
3123,"parallel, distributed and network-based processing"
3124,international conference on information systems security
3125,european conference on artificial intelligence
3126,high performance computing for computational science (vector and parallel processing)
3127,Markup Languages
3128,international conference on the theory and application of cryptology and information security
3129,Organic Process Research & Development
3130,Mutation Research-genetic Toxicology and Environmental Mutagenesis
3131,Metrologia
3132,international test conference
3133,geographic information retrieval
3134,"artificial intelligence: methodology, systems, applications"
3135,Internet Research
3136,network and parallel computing
3137,International Journal of Information Technology Project Management
3138,American Journal of Physics
3139,arXiv: Algebraic Geometry
3140,"international joint conference on computer vision, imaging and computer graphics theory and applications"
3141,Complex Systems
3142,acs/ieee international conference on computer systems and applications
3143,Annals of the New York Academy of Sciences
